Index,Item,Price
2000,RPi 4B 8G Core Kit-EU Plug(w RPI4B8G),$112.50
2001,IC 74HC163N,$0.55
2002,IC 74HC137N,$0.80
2003,IC 74HC7014N,$2.50
2004,SICK Digital Fiber Sensor (Green LED),$250.00
2005,GWInstek DC Power Supply (3 Channel),$487.50
2006,BitPlayer (Without micro:bit),$24.75
2007,Raspberry Pi 4B 2GB Desktop Kit-EU Plug,$124.75 $112.28
2008,BitWearable Kit (Without micro:bit),$18.75
2009,Raspberry Pi 4B 2GB Desktop Kit-UK Plug,$124.75 $112.28
2010,IC 74LS10,$0.40
2011,Genesys2 Kintex-7 FPGA Development Board,"$1,575.00"
2012,RPi 4B 8G Basic Kit 6-UK Plug(w RPI4B8G),$141.25
2013,IC 74HC160N,$0.90
2014,micro:bit Jet Mole Kit (without micro:bit),$42.50
2015,RPi 4B 8G Basic Kit 6-EU Plug(w RPI4B8G),$141.25
2016,IC 74HC241N,$0.58
2017,IC OP07,$0.75
2018,IC 74LS20,$0.30
2019,RPi 4B 8G Core Kit-EU Plug(w RPI4B8G),$112.50
2020,IC 74HC163N,$0.55
2021,IC 74HC137N,$0.80
2022,IC 74HC7014N,$2.50
2023,SICK Digital Fiber Sensor (Green LED),$250.00
2024,rero Standard Set,$450.00
2025,Basys 3 Artix-7 FPGA Board,$187.50
2026,Digilent NetFPGA-1G-CML Kintex-7 FPGA,"$1,975.00"
2027,BitPlayer (Without micro:bit),$24.75
2028,Raspberry Pi 4B 2GB Desktop Kit-EU Plug,$124.75 $112.28
2029,GWInstek DC Power Supply (3 Channel),$487.50
2030,BitWearable Kit (Without micro:bit),$18.75
2031,Raspberry Pi 4B 2GB Desktop Kit-UK Plug,$124.75 $112.28
2032,IC 74LS10,$0.40
2033,RPi 4B 8G Basic Kit 6-UK Plug(w RPI4B8G),$141.25
2034,IC 74HC160N,$0.90
2035,Genesys2 Kintex-7 FPGA Development Board,"$1,575.00"
2036,micro:bit Jet Mole Kit (without micro:bit),$42.50
2037,RPi 4B 8G Basic Kit 6-EU Plug(w RPI4B8G),$141.25
2038,IC 74HC241N,$0.58
2039,Maker UNO X Learning Box - School Bundle 1 (10 sets),$164.75
2040,IC 74HC147N,$0.58
2041,IC LM3914,$2.35
2042,SUNX Digital Fiber Sensor (Red LED),$112.50
2043,Robot. Head To Toe (Volume 8),$1.75
2044,Maker UNO X Learning Box - School Bundle 2 (20 sets),$329.50
2045,Zener Diodes 1/2W 6V8,$0.08
2046,IC 74LS47,$1.15
2047,Using Multi PWM Chip,$35.00
2048,Robot. Head To Toe (Volume 10),$1.75
2049,Arduino Due,$43.75
2050,4WD Outdoor Mobile Platform,$950.00
2051,GW Instek 70MHz 2-Ch Digital Oscilloscope,$570.00
2052,TF02 PRO - IP65 LiDAR Rangefinder (40m),$96.25
2053,Raspberry Pi 4B Basic Kit EU Plug (w/o Raspberry Pi),$31.25
2054,Maker UNO X Learning Box - School Bundle 3 (40 sets),$659.00
2055,IC PIC18F2685,$11.25
